County,COUNTY_NAM,FIPS,% Low birthweight,Teen Birth Rate,Preventable Hospitalization Rate,% With Annual Mammogram,% Children in Poverty,Injury Death Rate,Life Expectancy,Age-adjusted Death Rate,Child Mortality Rate,Infant Mortality Rate,Drug Overdose Mortality Rate,ELA Average Grade Performance,Math Average Grade Performance,Median Household Income,Homicide Rate,Suicide Rate,Firearm Fatalities Rate,COVID-19 death rate,% Frequent Physical Distress,% Frequent Mental Distress,% Adults with Diabetes,HIV Prevalence Rate,% Food Insecure,% Limited Access to Healthy Foods,% Insufficient Sleep,% Disconnected Youth,School_Segregation,Spending per-pupil,Women's Median Earnings,Men's Median Earnings,Gender Pay Gap,% Enrolled in Free or Reduced Lunch,Res_BW_Segregation,Res_WNW_Segregation,Juvenile Arrest Rate,% Homeowners,% Severe Housing Cost Burden,% Broadband Access,Population,% Less Than 18 Years of Age,% 65 and Over,% Black,% American Indian & Alaska Native,% Asian,% Native Hawaiian/Other Pacific Islander,% Hispanic,% Non-Hispanic white,Pct_Other,% rural,% Fair or Poor Health,% Smokers,% Adults with Obesity,Food Environment Index,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,% Uninsured,% Completed High School,% Some College,% Unemployed,% Children in Single-Parent Households,Violent Crime Rate,Average Daily PM2.5,% Severe Housing Problems
Adams,ADAMS,42001,7.41,14.4,3661,51,11.1,78.35,79.61,296.81,45.18,5.01,17.5,3.17,3.24,70470,1.81,14.73,12.08,48.39,12.6,15.3,8.6,195.9,8.2,4.19,37.23,3.18,0.08,14415.5,40707,53024,0.77,38.78,49.73,34.06,17.42,77.85,9.6,84.16,102742,19.7,21.55,1.59,0.43,0.88,0.07,7.27,88.72,1.04,53.68,18.3,20.3,35.8,8.8,19,18.75,7.69,89.23,59.81,6.93,16.51,133.52,7.7,10.22
Allegheny,ALLEGHENY,42003,8.41,11.09,4223,43,13,108.02,77.86,371.71,52.18,5.97,44.3,3.37,3.38,64236,8.4,14.37,14.19,59.02,11.5,14,8.3,282.1,10.4,5.52,38.17,3.53,0.27,17723.67,48185,60423,0.8,47.11,64.02,49.44,24.35,64.28,12.26,86.03,1211358,18.63,19.8,13.19,0.16,4.31,0.04,2.33,77.79,2.18,2.49,16.5,18.1,28.7,8.3,22.52,23.1,5.11,94.83,80.85,9.02,25.82,394.53,13.3,13.76
Armstrong,ARMSTRONG,42005,7.41,19.08,3772,42,16.1,123.2,76.77,408.86,60.44,5.74,39.66,3.21,3.28,52958,2.6,20.6,15.94,37.7,13.7,16.9,9.1,69.6,12.1,2.05,40.97,5.17,0.07,16944,37475,50227,0.75,69.59,77.09,38.94,10,77.78,8.82,78.55,64162,18.93,23.26,0.88,0.16,0.29,0.01,0.82,96.93,0.91,67.49,19.4,23.8,35.6,8.3,20.34,43.59,6.52,91.79,55.13,9.77,22.4,108.07,7.8,10.49
Beaver,BEAVER,42007,7.28,16.66,4363,43,12.2,102.08,76.46,421.9,49.51,6.73,36.85,3.25,3.18,56649,3.35,14.74,12.25,87.46,12.9,16,8.7,93.2,11,9.39,39.53,4.94,0.2,16082.92,41778,57616,0.73,52.19,62.34,51.1,22.88,72.97,8.67,82.61,162575,19.24,22.46,6.32,0.19,0.59,0.05,1.89,88.82,2.14,25.83,17.9,21.6,37.3,7.8,21.57,19.7,5.65,93.76,70.63,10.27,26.17,265.15,10,10.43
Bedford,BEDFORD,42009,5.56,18.58,3112,46,14.4,109.27,77.65,391.3,56.49,,28.5,3.16,3.14,52643,,22.37,19.11,109.34,14.1,17.2,9.1,96.3,11.5,6.27,40.41,5.48,0.04,14037.4,33957,44868,0.76,49.69,65.64,22.43,,79.4,9.08,77.18,47817,19.21,23.96,0.63,0.18,0.47,0.04,1.28,96.61,0.79,83.79,20.1,23.9,34.1,8,20.38,17.07,8.39,88.66,51.34,9.12,15.32,80.44,8,10.72
Berks,BERKS,42011,8.14,20.26,4241,45,14,78.52,78.97,327.34,47.31,6.39,28.68,2.89,2.82,70057,3.93,14.72,10.55,98.04,13.1,14.7,9.7,317.2,9.4,3.29,36.32,5.08,0.3,15675.22,43421,53508,0.81,52.08,56.91,51.64,18.29,71.03,11.98,84.36,421017,22.06,17.98,4.28,0.95,1.61,0.22,23.14,69.59,0.21,23.74,20.2,19.3,34.4,8.7,18.67,26.67,7.59,87.21,58.55,9.48,27.27,299.9,8.6,14.64
Blair,BLAIR,42013,6.82,21.53,4178,41,15.2,89.17,76.55,410.27,51.23,6.26,26.28,3.01,3.01,52177,1.62,14.39,9.78,94.75,14.1,16.9,9.2,110.1,13,4.38,40.45,8.46,0.08,13151,39028,49139,0.79,49.36,69.6,46.76,26.81,70.26,11.06,80.03,121007,20.18,21.67,1.97,0.17,0.7,0.03,1.34,94.4,1.39,23.43,19.8,23.3,36.3,7.9,20.7,18.33,6.72,91.73,59.04,8.7,23.31,224.25,7.6,13.34
Bradford,BRADFORD,42015,6.24,28.07,5446,52,13.4,87.13,78.49,355.37,43.37,4.85,19.3,3.03,2.92,55787,2.35,19.14,11.22,55.05,13.8,17.1,9.1,82.5,11.6,4.72,41.12,11.51,0.04,15564.57,35252,49115,0.72,56.44,60.14,25.36,16.83,72.75,8.97,82.28,60221,21.85,22.35,0.68,0.3,0.72,0.02,1.54,95.69,1.05,72.17,19.7,23.2,37.1,8.1,20.06,27.45,8.19,89.78,54.43,7.5,23.5,181.19,6.7,10.86
Bucks,BUCKS,42017,7.54,5.68,3807,48,6.1,81.45,79.53,299.54,30.94,3.4,36.56,3.36,3.37,92441,1.75,12.8,6.82,90.68,10.2,13.1,8,177.1,7.2,4.46,35.35,4.99,0.1,18092,53659,71026,0.76,29.64,54.12,37.26,10.62,78.07,12.64,90.88,627987,20.03,19.85,4.13,0.3,5.41,0.07,5.9,82.8,1.39,8.83,14.4,16.7,31.4,9,21.19,28.4,5.38,94.3,73.21,8.3,17.66,96.24,9.6,14.54
Butler,BUTLER,42019,6.21,8.4,3507,47,7.8,84.57,78.78,316.14,38.14,3.87,33.28,3.45,3.44,74721,1.14,13.03,9.59,77.54,11,14.3,7.6,54.3,8.9,3.19,36.85,3.23,0.07,14612.5,48254,65350,0.74,25.72,56.99,39.56,12.13,76.03,9.49,86.49,189135,19.57,20.04,1.31,0.16,1.53,0.03,1.7,94.19,1.08,41.96,15,17,30.7,8.8,21.72,28.57,4.81,95.44,75.86,7.86,14.51,100.1,9.8,10.55
